категория,тип_запроса,конкурент,домен,тип_источника,n_запросов,n_hits
baby care,брендовый,Huggies,vc.ru,обзор,4,4
baby care,брендовый,Huggies,detmir.ru,маркетплейс,2,2
baby care,брендовый,Huggies,dtf.ru,обзор,2,2
baby care,брендовый,Huggies,huggies.ru,сайт бренда,2,2
baby care,брендовый,Huggies,market.yandex.ru,маркетплейс,2,2
baby care,брендовый,Huggies,ozon.ru,маркетплейс,2,2
baby care,брендовый,Huggies,apteka.ru,перекуп,1,1
baby care,брендовый,Huggies,aptekiplus.ru,перекуп,1,1
baby care,брендовый,Huggies,auchan.ru,маркетплейс,1,1
baby care,брендовый,Huggies,deti.mail.ru,обзор,1,1
baby care,брендовый,Huggies,edadeal.ru,обзор,1,1
baby care,брендовый,Huggies,goldapple.ru,маркетплейс,1,1
baby care,брендовый,Huggies,gorzdrav.org,перекуп,1,1
baby care,брендовый,Huggies,irecommend.ru,форум,1,1
baby care,брендовый,Huggies,kmmedcenter.com,экспертный ресурс,1,1
baby care,брендовый,Huggies,kp.ru,обзор,1,1
baby care,брендовый,Huggies,markakakachestva.ru,обзор,1,1
baby care,брендовый,Huggies,nappyclub.ru,сайт бренда,1,1
baby care,брендовый,Huggies,reviews.yandex.ru,форум,1,1
baby care,брендовый,Huggies,tanoshi-club.com,обзор,1,1
baby care,брендовый,Huggies,tenchat.ru,обзор,1,1
baby care,брендовый,Joonies,vc.ru,обзор,2,2
baby care,брендовый,Joonies,dtf.ru,обзор,1,1
baby care,брендовый,Joonies,kp.ru,обзор,1,1
baby care,брендовый,Joonies,ozon.ru,маркетплейс,1,1
baby care,брендовый,Joonies,planetazdorovo.ru,перекуп,1,1
baby care,брендовый,Joonies,vsekroham.ru,перекуп,1,1
baby care,брендовый,KIOSHI,goldapple.ru,маркетплейс,1,1
baby care,брендовый,KIOSHI,market.yandex.ru,маркетплейс,1,1
baby care,брендовый,KIOSHI,ozon.ru,маркетплейс,1,1
baby care,брендовый,KIOSHI,wildberries.ru,маркетплейс,1,1
baby care,брендовый,Lovular,bestproducts.mail.ru,обзор,2,2
baby care,брендовый,Lovular,deti.mail.ru,обзор,1,1
baby care,брендовый,MOMI,apteka.ru,перекуп,1,1
baby care,брендовый,MOMI,gorzdrav.org,перекуп,1,1
baby care,брендовый,MOMI,ozon.ru,маркетплейс,1,1
baby care,брендовый,MOMI,uteka.ru,перекуп,1,1
baby care,брендовый,MOMI,wildberries.ru,маркетплейс,1,1
baby care,брендовый,Merries,vc.ru,обзор,4,4
baby care,брендовый,Merries,dtf.ru,обзор,2,2
baby care,брендовый,Merries,deti.mail.ru,обзор,1,1
baby care,брендовый,Merries,kp.ru,обзор,1,1
baby care,брендовый,Merries,markakakachestva.ru,обзор,1,1
baby care,брендовый,Merries,ozon.ru,маркетплейс,1,1
baby care,брендовый,Merries,tenchat.ru,обзор,1,1
baby care,брендовый,Miyoumi,goldapple.ru,маркетплейс,1,1
baby care,брендовый,Miyoumi,market.yandex.ru,маркетплейс,1,1
baby care,брендовый,Miyoumi,ozon.ru,маркетплейс,1,1
baby care,брендовый,Miyoumi,wildberries.ru,маркетплейс,1,1
baby care,брендовый,Momi,deti.mail.ru,обзор,2,2
baby care,брендовый,Momi,bestproducts.mail.ru,обзор,1,1
baby care,брендовый,Momi,dtf.ru,обзор,1,1
baby care,брендовый,Momi,vc.ru,обзор,1,1
baby care,брендовый,Offspring,deti.mail.ru,обзор,1,1
baby care,брендовый,Offspring,goldapple.ru,маркетплейс,1,1
baby care,брендовый,Offspring,kp.ru,обзор,1,1
baby care,брендовый,Offspring,market.yandex.ru,маркетплейс,1,1
baby care,брендовый,Offspring,ozon.ru,маркетплейс,1,1
baby care,брендовый,Offspring,wildberries.ru,маркетплейс,1,1
baby care,брендовый,Seni,comfer.ru,перекуп,2,2
baby care,брендовый,Seni,uteka.ru,перекуп,2,2
baby care,брендовый,Seni,aptekiplus.ru,перекуп,1,1
baby care,брендовый,Seni,aptstore.ru,перекуп,1,1
baby care,брендовый,Seni,gorzdrav.org,перекуп,1,1
baby care,брендовый,Seni,market.yandex.ru,маркетплейс,1,1
baby care,брендовый,Seni,ozon.ru,маркетплейс,1,1
baby care,брендовый,Seni,wildberries.ru,маркетплейс,1,1
baby care,брендовый,Seni,zdorov.ru,перекуп,1,1
baby care,брендовый,Senso Baby Simple,goldapple.ru,маркетплейс,1,1
baby care,брендовый,Senso Baby Simple,market.yandex.ru,маркетплейс,1,1
baby care,брендовый,Senso Baby Simple,ozon.ru,маркетплейс,1,1
baby care,брендовый,Senso Baby Simple,wildberries.ru,маркетплейс,1,1
baby care,брендовый,YokoSun,vc.ru,обзор,2,2
baby care,брендовый,YokoSun,goldapple.ru,маркетплейс,1,1
baby care,брендовый,YokoSun,kp.ru,обзор,1,1
baby care,брендовый,YokoSun,markakakachestva.ru,обзор,1,1
baby care,брендовый,YokoSun,market.yandex.ru,маркетплейс,1,1
baby care,брендовый,YokoSun,ozon.ru,маркетплейс,1,1
baby care,брендовый,YokoSun,tenchat.ru,обзор,1,1
baby care,брендовый,YokoSun,wildberries.ru,маркетплейс,1,1
baby care,категорийный,AMT LIFE,apteka.ru,перекуп,1,1
baby care,категорийный,AMT LIFE,comfer.ru,перекуп,1,1
baby care,категорийный,AMT LIFE,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,AMT LIFE,www.ozon.ru,маркетплейс,1,1
baby care,категорийный,Abena,comfer.ru,перекуп,1,1
baby care,категорийный,Abena,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Abena,ozon.ru,маркетплейс,1,1
baby care,категорийный,Alloves,irecommend.ru,форум,1,1
baby care,категорийный,Alloves,megamarket.ru,маркетплейс,1,1
baby care,категорийный,Alloves,otzovik.com,форум,1,1
baby care,категорийный,Ama Mama,irecommend.ru,форум,1,1
baby care,категорийный,Ama Mama,otzovik.com,форум,1,1
baby care,категорийный,Ama Mama,www.ozon.ru,маркетплейс,1,1
baby care,категорийный,Baby Go,detmir.ru,маркетплейс,1,1
baby care,категорийный,Baby Go,irecommend.ru,форум,1,1
baby care,категорийный,Baby Go,otzovik.com,форум,1,1
baby care,категорийный,Bella Baby happy,kp.ru,обзор,1,1
baby care,категорийный,Bella Baby happy,markakachestva.ru,обзор,1,1
baby care,категорийный,Bella Baby happy,vc.ru,обзор,1,1
baby care,категорийный,Dailee,apteka.ru,перекуп,1,1
baby care,категорийный,Dailee,comfer.ru,перекуп,1,1
baby care,категорийный,Dailee,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Dailee,www.ozon.ru,маркетплейс,1,1
baby care,категорийный,Goo.N,kp.ru,обзор,1,1
baby care,категорийный,Goo.N,markakachestva.ru,обзор,1,1
baby care,категорийный,Goo.N,vc.ru,обзор,1,1
baby care,категорийный,Hartmann,comfer.ru,перекуп,1,1
baby care,категорийный,Hartmann,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Hartmann,ozon.ru,маркетплейс,1,1
baby care,категорийный,Helen Harper,ozon.ru,маркетплейс,3,3
baby care,категорийный,Helen Harper,wildberries.ru,маркетплейс,3,3
baby care,категорийный,Helen Harper,market.yandex.ru,маркетплейс,2,2
baby care,категорийный,Helen Harper,akusherstvo.ru,экспертный ресурс,1,1
baby care,категорийный,Helen Harper,babyblog.ru,обзор,1,1
baby care,категорийный,Helen Harper,detmir.ru,маркетплейс,1,1
baby care,категорийный,Helen Harper,dtf.ru,обзор,1,1
baby care,категорийный,Helen Harper,dzen.ru,обзор,1,1
baby care,категорийный,Helen Harper,otvet.mail.ru,форум,1,1
baby care,категорийный,Helen Harper,uteka.ru,перекуп,1,1
baby care,категорийный,Helen Harper,zdravcity.ru,перекуп,1,1
baby care,категорийный,Hiya,kp.ru,обзор,1,1
baby care,категорийный,Hiya,markakachestva.ru,обзор,1,1
baby care,категорийный,Hiya,vc.ru,обзор,1,1
baby care,категорийный,Huggies,ozon.ru,маркетплейс,11,12
baby care,категорийный,Huggies,market.yandex.ru,маркетплейс,10,11
baby care,категорийный,Huggies,wildberries.ru,маркетплейс,8,9
baby care,категорийный,Huggies,detmir.ru,маркетплейс,5,5
baby care,категорийный,Huggies,vc.ru,обзор,3,3
baby care,категорийный,Huggies,deti.mail.ru,обзор,2,2
baby care,категорийный,Huggies,dtf.ru,обзор,2,2
baby care,категорийный,Huggies,pikabu.ru,обзор,2,2
baby care,категорийный,Huggies,akusherstvo.ru,экспертный ресурс,1,1
baby care,категорийный,Huggies,apteka.ru,перекуп,1,1
baby care,категорийный,Huggies,babyblog.ru,обзор,1,1
baby care,категорийный,Huggies,bestproducts.mail.ru,обзор,1,1
baby care,категорийный,Huggies,dzen.ru,обзор,1,1
baby care,категорийный,Huggies,huggies.az,сайт бренда,1,1
baby care,категорийный,Huggies,lavka.yandex.ru,маркетплейс,1,1
baby care,категорийный,Huggies,lenta.com,перекуп,1,1
baby care,категорийный,Huggies,medaboutme.ru,экспертный ресурс,1,1
baby care,категорийный,Huggies,megamarket.ru,маркетплейс,1,1
baby care,категорийный,Huggies,mk.ru,обзор,1,1
baby care,категорийный,Huggies,momlovesbest.com,обзор,1,1
baby care,категорийный,Huggies,nappyclub.ru,перекуп,1,1
baby care,категорийный,Huggies,ok.ru,форум,1,1
baby care,категорийный,Huggies,online.metro-cc.ru,перекуп,1,1
baby care,категорийный,Huggies,onlinetrade.ru,перекуп,1,1
baby care,категорийный,Huggies,otvet.mail.ru,форум,1,1
baby care,категорийный,Huggies,pikabu.ru,форум,1,1
baby care,категорийный,Huggies,planetazdorovo.ru,перекуп,1,1
baby care,категорийный,Huggies,promo.habr.com,обзор,1,1
baby care,категорийный,Huggies,promokod.pikabu.ru,перекуп,1,1
baby care,категорийный,Huggies,promokodi.net,перекуп,1,1
baby care,категорийный,Huggies,promokodus.com,перекуп,1,1
baby care,категорийный,Huggies,t-j.ru,обзор,1,1
baby care,категорийный,Huggies,uteka.ru,перекуп,1,1
baby care,категорийный,Huggies,votonia.ru,перекуп,1,1
baby care,категорийный,Huggies,zdravcity.ru,перекуп,1,1
baby care,категорийный,Joonies,deti.mail.ru,обзор,2,2
baby care,категорийный,Joonies,pikabu.ru,обзор,2,2
baby care,категорийный,Joonies,vc.ru,обзор,2,2
baby care,категорийный,Joonies,bestproducts.mail.ru,обзор,1,1
baby care,категорийный,Joonies,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Joonies,ozon.ru,маркетплейс,1,1
baby care,категорийный,Joonies,pikabu.ru,форум,1,1
baby care,категорийный,Joonies,t-j.ru,обзор,1,1
baby care,категорийный,Joonies,wildberries.ru,маркетплейс,1,1
baby care,категорийный,Joonies,www.rbc.ru,обзор,1,1
baby care,категорийный,KIDDO,apteka.ru,перекуп,1,1
baby care,категорийный,KIDDO,comfer.ru,перекуп,1,1
baby care,категорийный,KIDDO,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,KIDDO,www.ozon.ru,маркетплейс,1,1
baby care,категорийный,LOVULAR,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,LOVULAR,ozon.ru,маркетплейс,1,1
baby care,категорийный,LOVULAR,wildberries.ru,маркетплейс,1,1
baby care,категорийный,Little Art,detmir.ru,маркетплейс,1,1
baby care,категорийный,Little Art,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Little Art,megamarket.ru,маркетплейс,1,1
baby care,категорийный,Little Art,reviews.yandex.ru,форум,1,1
baby care,категорийный,Lovular,bestproducts.mail.ru,обзор,2,2
baby care,категорийный,Lovular,deti.mail.ru,обзор,2,2
baby care,категорийный,Lovular,market.yandex.ru,маркетплейс,2,2
baby care,категорийный,Lovular,ozon.ru,маркетплейс,2,2
baby care,категорийный,Lovular,ccd77.ru,перекуп,1,1
baby care,категорийный,Lovular,onlinetrade.ru,перекуп,1,1
baby care,категорийный,Lovular,wildberries.ru,маркетплейс,1,1
baby care,категорийный,MANU,detmir.ru,маркетплейс,1,1
baby care,категорийный,MANU,megamarket.ru,маркетплейс,1,1
baby care,категорийный,MANU,ozon.ru,маркетплейс,1,1
baby care,категорийный,Merries,vc.ru,обзор,5,5
baby care,категорийный,Merries,deti.mail.ru,обзор,2,2
baby care,категорийный,Merries,dtf.ru,обзор,2,2
baby care,категорийный,Merries,t-j.ru,обзор,2,2
baby care,категорийный,Merries,akusherstvo.ru,экспертный ресурс,1,1
baby care,категорийный,Merries,babyblog.ru,обзор,1,1
baby care,категорийный,Merries,ccd77.ru,перекуп,1,1
baby care,категорийный,Merries,dzen.ru,обзор,1,1
baby care,категорийный,Merries,health.mail.ru,обзор,1,1
baby care,категорийный,Merries,kp.ru,обзор,1,1
baby care,категорийный,Merries,markakachestva.ru,обзор,1,1
baby care,категорийный,Merries,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Merries,otvet.mail.ru,форум,1,1
baby care,категорийный,Merries,ozon.ru,маркетплейс,1,1
baby care,категорийный,Merries,pikabu.ru,обзор,1,1
baby care,категорийный,Merries,pikabu.ru,форум,1,1
baby care,категорийный,Merries,wildberries.ru,маркетплейс,1,1
baby care,категорийный,Merries,www.kp.ru,обзор,1,1
baby care,категорийный,MoliCare,comfer.ru,перекуп,2,2
baby care,категорийный,MoliCare,market.yandex.ru,маркетплейс,2,2
baby care,категорийный,MoliCare,ozon.ru,маркетплейс,2,2
baby care,категорийный,MoliCare,apteka.ru,перекуп,1,1
baby care,категорийный,MoliCare,wildberries.ru,маркетплейс,1,1
baby care,категорийный,Momi,deti.mail.ru,обзор,1,1
baby care,категорийный,Momi,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Momi,onlinetrade.ru,перекуп,1,1
baby care,категорийный,Momi,ozon.ru,маркетплейс,1,1
baby care,категорийный,Momi,pikabu.ru,обзор,1,1
baby care,категорийный,Momi,t-j.ru,обзор,1,1
baby care,категорийный,Momi,vc.ru,обзор,1,1
baby care,категорийный,Moony Organic,deti.mail.ru,обзор,1,1
baby care,категорийный,Moony Organic,vc.ru,обзор,1,1
baby care,категорийный,Moony Organic,www.kp.ru,обзор,1,1
baby care,категорийный,Seni,comfer.ru,перекуп,3,3
baby care,категорийный,Seni,market.yandex.ru,маркетплейс,3,3
baby care,категорийный,Seni,ozon.ru,маркетплейс,3,3
baby care,категорийный,Seni,wildberries.ru,маркетплейс,2,2
baby care,категорийный,Seni,akusherstvo.ru,экспертный ресурс,1,1
baby care,категорийный,Seni,apteka.ru,перекуп,1,1
baby care,категорийный,Seni,babyblog.ru,обзор,1,1
baby care,категорийный,Seni,dtf.ru,обзор,1,1
baby care,категорийный,Seni,dzen.ru,обзор,1,1
baby care,категорийный,Seni,otvet.mail.ru,форум,1,1
baby care,категорийный,Seni,planetazdorovo.ru,перекуп,1,1
baby care,категорийный,Senso Med,apteka.ru,перекуп,1,1
baby care,категорийный,Senso Med,comfer.ru,перекуп,1,1
baby care,категорийный,Senso Med,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Senso Med,www.ozon.ru,маркетплейс,1,1
baby care,категорийный,Super Seni,apteka.ru,перекуп,1,1
baby care,категорийный,Super Seni,comfer.ru,перекуп,1,1
baby care,категорийный,Super Seni,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Super Seni,www.ozon.ru,маркетплейс,1,1
baby care,категорийный,Tena,comfer.ru,перекуп,3,3
baby care,категорийный,Tena,market.yandex.ru,маркетплейс,3,4
baby care,категорийный,Tena,ozon.ru,маркетплейс,3,3
baby care,категорийный,Tena,wildberries.ru,маркетплейс,2,2
baby care,категорийный,Tena,planetazdorovo.ru,перекуп,1,1
baby care,категорийный,Tereza Med,apteka.ru,перекуп,1,1
baby care,категорийный,Tereza Med,comfer.ru,перекуп,1,1
baby care,категорийный,Tereza Med,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Tereza Med,ozon.ru,маркетплейс,1,1
baby care,категорийный,Tereza Med,wildberries.ru,маркетплейс,1,1
baby care,категорийный,TerezaMed,comfer.ru,перекуп,2,2
baby care,категорийный,TerezaMed,market.yandex.ru,маркетплейс,2,2
baby care,категорийный,TerezaMed,ozon.ru,маркетплейс,2,2
baby care,категорийный,TerezaMed,planetazdorovo.ru,перекуп,1,1
baby care,категорийный,TerezaMed,wildberries.ru,маркетплейс,1,1
baby care,категорийный,TokiBaby Light,deti.mail.ru,обзор,1,1
baby care,категорийный,TokiBaby Light,vc.ru,обзор,1,1
baby care,категорийный,TokiBaby Light,www.kp.ru,обзор,1,1
baby care,категорийный,Unisoft,apteka.ru,перекуп,1,1
baby care,категорийный,Unisoft,irecommend.ru,форум,1,1
baby care,категорийный,Unisoft,megamarket.ru,маркетплейс,1,1
baby care,категорийный,Unisoft,reviews.yandex.ru,обзор,1,1
baby care,категорийный,YokoSun,akusherstvo.ru,экспертный ресурс,1,1
baby care,категорийный,YokoSun,babyblog.ru,обзор,1,1
baby care,категорийный,YokoSun,detmir.ru,маркетплейс,1,1
baby care,категорийный,YokoSun,dtf.ru,обзор,1,1
baby care,категорийный,YokoSun,dzen.ru,обзор,1,1
baby care,категорийный,YokoSun,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,YokoSun,nappyclub.ru,перекуп,1,1
baby care,категорийный,YokoSun,otvet.mail.ru,форум,1,1
baby care,категорийный,YokoSun,ozon.ru,маркетплейс,1,1
baby care,категорийный,YokoSun,pikabu.ru,форум,1,1
baby care,категорийный,YokoSun,vc.ru,обзор,1,1
baby care,категорийный,YokoSun,wildberries.ru,маркетплейс,1,1
baby care,категорийный,YokoSun (и другие конкуренты),deti.mail.ru,обзор,1,1
baby care,категорийный,Ама Мама,irecommend.ru,форум,1,1
baby care,категорийный,Ама Мама,otzovik.com,форум,1,1
baby care,категорийный,Ама Мама,ozon.ru,маркетплейс,1,1
baby care,категорийный,Красная цена,irecommend.ru,форум,1,1
baby care,категорийный,Красная цена,megamarket.ru,маркетплейс,1,1
baby care,категорийный,Красная цена,otzovik.com,форум,1,1
baby care,категорийный,Лента,apteka.ru,перекуп,1,1
baby care,категорийный,Лента,irecommend.ru,форум,1,1
baby care,категорийный,Лента,megamarket.ru,маркетплейс,1,1
baby care,категорийный,Лента,reviews.yandex.ru,обзор,1,1
baby care,категорийный,Мапсики,market.yandex.ru,маркетплейс,1,1
baby care,категорийный,Мапсики,ozon.ru,маркетплейс,1,1
baby care,категорийный,Мапсики,planetazdorovo.ru,перекуп,1,1
baby care,категорийный,Мапсики,wildberries.ru,маркетплейс,1,1
baby care,категорийный,ЭлараHealth,apteka.ru,перекуп,1,1
baby care,категорийный,ЭлараHealth,irecommend.ru,форум,1,1
baby care,категорийный,ЭлараHealth,megamarket.ru,маркетплейс,1,1
baby care,категорийный,ЭлараHealth,reviews.yandex.ru,обзор,1,1
baby care,категорийный,не указаны,apteka.ru,перекуп,1,1
baby care,категорийный,не указаны,gorzdrav.org,перекуп,1,1
baby care,категорийный,не указаны,ozerki.ru,перекуп,1,1
baby care,категорийный,не указаны,spb.uteka.ru,перекуп,1,1
baby care,категорийный,не указаны,vitaexpress.ru,перекуп,1,1
baby care,консультационный,HanaMaru,babyblog.ru,форум,1,1
baby care,консультационный,HanaMaru,forum.baby.ru,форум,1,1
baby care,консультационный,HanaMaru,vc.ru,обзор,1,1
baby care,консультационный,Huggies,deti.mail.ru,обзор,9,9
baby care,консультационный,Huggies,vc.ru,обзор,9,9
baby care,консультационный,Huggies,kp.ru,обзор,4,5
baby care,консультационный,Huggies,ozon.ru,маркетплейс,3,3
baby care,консультационный,Huggies,pikabu.ru,обзор,3,3
baby care,консультационный,Huggies,pikabu.ru,форум,3,3
baby care,консультационный,Huggies,t-j.ru,обзор,3,3
baby care,консультационный,Huggies,babyblog.ru,форум,2,2
baby care,консультационный,Huggies,dtf.ru,обзор,2,2
baby care,консультационный,Huggies,huggies.ru,сайт бренда,2,2
baby care,консультационный,Huggies,tekhnik.top,обзор,2,2
baby care,консультационный,Huggies,apteka.ru,перекуп,1,1
baby care,консультационный,Huggies,bestproducts.mail.ru,обзор,1,1
baby care,консультационный,Huggies,detmir.ru,маркетплейс,1,1
baby care,консультационный,Huggies,dzen.ru,обзор,1,1
baby care,консультационный,Huggies,forum.baby.ru,форум,1,1
baby care,консультационный,Huggies,health.mail.ru,обзор,1,1
baby care,консультационный,Huggies,huggies.kg,сайт бренда,1,1
baby care,консультационный,Huggies,irecommend.ru,форум,1,1
baby care,консультационный,Huggies,kmmedcenter.com,экспертный ресурс,1,1
baby care,консультационный,Huggies,markakachestva.ru,обзор,1,1
baby care,консультационный,Huggies,market.yandex.ru,маркетплейс,1,1
baby care,консультационный,Huggies,medaboutme.ru,экспертный ресурс,1,1
baby care,консультационный,Huggies,megamarket.ru,маркетплейс,1,1
baby care,консультационный,Huggies,megapteka.ru,перекуп,1,1
baby care,консультационный,Huggies,momlovesbest.com,обзор,1,1
baby care,консультационный,Huggies,sima-land.ru,перекуп,1,1
baby care,консультационный,Huggies,tenchat.ru,обзор,1,1
baby care,консультационный,Huggies,vk.com,форум,1,1
baby care,консультационный,JOONIES,vc.ru,обзор,2,2
baby care,консультационный,JOONIES,babyblog.ru,форум,1,1
baby care,консультационный,JOONIES,forum.baby.ru,форум,1,1
baby care,консультационный,JOONIES,tekhnik.top,обзор,1,1
baby care,консультационный,JOONIES,tenchat.ru,обзор,1,1
baby care,консультационный,Joonies,t-j.ru,обзор,6,6
