конкурент,домен,тип_источника,n_запросов,n_hits
AMBREE Professional,altaitmag.ru,перекуп,1,1
AMBREE Professional,letu.ru,перекуп,1,1
AMBREE Professional,market.yandex.ru,маркетплейс,1,1
AMBREE Professional,ozon.ru,маркетплейс,1,2
AMBREE Professional,wildberries.ru,маркетплейс,1,1
AMT LIFE,apteka.ru,перекуп,1,1
AMT LIFE,comfer.ru,перекуп,1,1
AMT LIFE,market.yandex.ru,маркетплейс,1,1
AMT LIFE,www.ozon.ru,маркетплейс,1,1
AQUA FORCE,axioneprofessional.ru,сайт бренда,1,1
AQUA FORCE,market.yandex.ru,маркетплейс,1,1
AQUA FORCE,ozon.ru,маркетплейс,1,2
AQUA FORCE,vkusvill.ru,маркетплейс,1,1
AQUA FORCE,wildberries.ru,маркетплейс,1,1
ARAVIA,kp.ru,обзор,3,3
ARAVIA,lady.mail.ru,обзор,2,2
ARAVIA,vc.ru,обзор,2,2
ARAVIA,ozon.ru,маркетплейс,1,1
ARAVIA Professional,goldapple.ru,перекуп,2,2
ARAVIA Professional,ozon.ru,маркетплейс,2,2
ARAVIA Professional,wildberries.ru,маркетплейс,2,2
ARAVIA Professional,apteka.ru,перекуп,1,1
ARAVIA Professional,letu.ru,перекуп,1,1
ARAVIA Professional,market.yandex.ru,маркетплейс,1,1
ARAVIA Professional,poryadok.ru,перекуп,1,1
AXE ANTI HANGOVER,axioneprofessional.ru,сайт бренда,1,1
AXE ANTI HANGOVER,market.yandex.ru,маркетплейс,1,1
AXE ANTI HANGOVER,ozon.ru,маркетплейс,1,2
AXE ANTI HANGOVER,vkusvill.ru,маркетплейс,1,1
AXE ANTI HANGOVER,wildberries.ru,маркетплейс,1,1
Abena,comfer.ru,перекуп,1,1
Abena,market.yandex.ru,маркетплейс,1,1
Abena,ozon.ru,маркетплейс,1,1
Acleon,megapteka.ru,перекуп,1,1
Acleon,tehnobzor.ru,обзор,1,1
Acleon,www.kp.ru,обзор,1,1
Alerana,bestproducts.mail.ru,обзор,1,1
Alerana,kp.ru,обзор,1,1
Alerana,lady.mail.ru,обзор,1,1
Alerana,ozon.ru,маркетплейс,1,1
Alloves,irecommend.ru,форум,1,1
Alloves,megamarket.ru,маркетплейс,1,1
Alloves,otzovik.com,форум,1,1
Ama Mama,irecommend.ru,форум,1,1
Ama Mama,otzovik.com,форум,1,1
Ama Mama,www.ozon.ru,маркетплейс,1,1
AxiOne,axioneprofessional.ru,сайт бренда,1,1
AxiOne,market.yandex.ru,маркетплейс,1,1
AxiOne,ozon.ru,маркетплейс,1,2
AxiOne,vkusvill.ru,маркетплейс,1,1
AxiOne,wildberries.ru,маркетплейс,1,1
B.Well,caseguru.ru,обзор,1,1
B.Well,dns-shop.ru,маркетплейс,1,1
B.Well,dtf.ru,обзор,1,1
B.Well,dzen.ru,обзор,1,1
B.Well,health.mail.ru,обзор,1,1
B.Well,health.mail.ru,экспертный ресурс,1,1
B.Well,ozon.ru,маркетплейс,1,1
B.Well,tehnobzor.ru,обзор,1,1
BAZE,altaitmag.ru,перекуп,1,1
BAZE,letu.ru,перекуп,1,1
BAZE,market.yandex.ru,маркетплейс,1,1
BAZE,ozon.ru,маркетплейс,1,2
BAZE,wildberries.ru,маркетплейс,1,1
BRAND FOR MY SON,deti.mail.ru,обзор,1,1
BRAND FOR MY SON,www.huggies.uz,сайт бренда,1,1
BYPHASSE,lady.mail.ru,обзор,3,3
BYPHASSE,letu.ru,обзор,3,3
BYPHASSE,dzen.ru,обзор,1,1
BYPHASSE,kp.ru,обзор,1,1
BYPHASSE,nbcnews.com,обзор,1,1
BYPHASSE,stolichki.ru,обзор,1,1
BYPHASSE,stolichki.ru,перекуп,1,1
BYPHASSE,tekhnik.top,обзор,1,1
BYPHASSE,vc.ru,обзор,1,1
BYPHASSE,www.nbcnews.com,обзор,1,1
Baby Go,detmir.ru,маркетплейс,1,1
Baby Go,irecommend.ru,форум,1,1
Baby Go,otzovik.com,форум,1,1
Bella Baby happy,kp.ru,обзор,1,1
Bella Baby happy,markakachestva.ru,обзор,1,1
Bella Baby happy,vc.ru,обзор,1,1
Biofollica,biofollica.ru,сайт бренда,1,1
Biofollica,letu.ru,перекуп,1,1
Biofollica,market.yandex.ru,маркетплейс,1,1
Biofollica,ozon.ru,маркетплейс,1,1
Biofollica,wildberries.ru,маркетплейс,1,1
Blonde,altaitmag.ru,перекуп,1,1
Blonde,letu.ru,перекуп,1,1
Blonde,market.yandex.ru,маркетплейс,1,1
Blonde,ozon.ru,маркетплейс,1,2
Blonde,wildberries.ru,маркетплейс,1,1
Booby Blue,apteka.ru,перекуп,1,1
Booby Blue,goldapple.ru,перекуп,1,1
Booby Blue,ozon.ru,маркетплейс,1,1
Booby Blue,poryadok.ru,перекуп,1,1
Booby Blue,wildberries.ru,маркетплейс,1,1
Bopakids,doctorslon.ru,перекуп,1,1
Bopakids,market.yandex.ru,маркетплейс,1,1
Bopakids,wildberries.ru,маркетплейс,1,1
CHI,kp.ru,обзор,1,1
CHI,lady.mail.ru,обзор,1,1
CHI,ozon.ru,маркетплейс,1,1
COLLISTAR,dzen.ru,обзор,1,1
COLLISTAR,lady.mail.ru,обзор,1,1
COLLISTAR,letu.ru,обзор,1,1
COLLISTAR,stolichki.ru,перекуп,1,1
COLLISTAR,tekhnik.top,обзор,1,1
CONSTANT DELIGHT,altaitmag.ru,перекуп,1,1
CONSTANT DELIGHT,letu.ru,перекуп,1,1
CONSTANT DELIGHT,market.yandex.ru,маркетплейс,1,1
CONSTANT DELIGHT,ozon.ru,маркетплейс,1,2
CONSTANT DELIGHT,wildberries.ru,маркетплейс,1,1
COSLYS,byrdie.com,обзор,1,1
COSLYS,kp.ru,обзор,1,1
COSLYS,lady.mail.ru,обзор,1,1
COSLYS,megapteka.ru,перекуп,1,1
CS Medica,health.mail.ru,обзор,1,1
CS Medica,ozon.ru,маркетплейс,1,1
CS Medica,tehnobzor.ru,обзор,1,1
Chandi,apteka.ru,перекуп,1,1
Chandi,goldapple.ru,маркетплейс,1,1
Chandi,irecommend.ru,форум,1,1
Clear,vc.ru,обзор,3,3
Clear,health.mail.ru,экспертный ресурс,2,2
Clear,ihc-russia.ru,экспертный ресурс,1,1
Clear,lamoda.ru,обзор,1,1
Clear,stolichki.ru,обзор,1,1
Clear,stolichki.ru,перекуп,1,1
Clear,uteka.ru,экспертный ресурс,1,1
Colgate,health.mail.ru,обзор,2,2
Colgate,rigla.ru,перекуп,2,2
Colgate,apteka.ru,перекуп,1,1
Colgate,dentistpro.ru,экспертный ресурс,1,1
Colgate,dtf.ru,обзор,1,1
Colgate,goldapple.ru,перекуп,1,1
Colgate,gorzdrav.org,перекуп,1,1
Colgate,kp.ru,обзор,1,1
Colgate,market.yandex.ru,маркетплейс,1,1
Colgate,megapteka.ru,перекуп,1,1
Colgate,mila.by,перекуп,1,1
Colgate,ozon.by,маркетплейс,1,1
Colgate,podrygka.ru,перекуп,1,1
Colgate,stolichki.ru,перекуп,1,1
Colgate,tomas.by,маркетплейс,1,1
Colgate,uteka.ru,перекуп,1,1
Colgate,vc.ru,обзор,1,1
Colgate,zdravcity.ru,обзор,1,1
Concept,goldapple.ru,маркетплейс,1,1
Concept,market.yandex.ru,маркетплейс,1,1
Concept,ozon.ru,маркетплейс,1,1
Concept,rivegauche.ru,маркетплейс,1,1
Concept,wildberries.ru,маркетплейс,1,1
Crystal Chamomile & Green Tea,byrdie.com,обзор,1,1
Crystal Chamomile & Green Tea,kp.ru,обзор,1,1
Crystal Chamomile & Green Tea,lady.mail.ru,обзор,1,1
Crystal Chamomile & Green Tea,megapteka.ru,перекуп,1,1
Cutrin,kp.ru,обзор,1,1
Cutrin,lady.mail.ru,обзор,1,1
Cutrin,ozon.ru,маркетплейс,1,1
DEXCLUSIVE Men,market.yandex.ru,маркетплейс,1,2
DEXCLUSIVE Men,ozon.ru,маркетплейс,1,2
DEXCLUSIVE Men,reviews.yandex.ru,маркетплейс,1,1
DREAM NATURE,letu.ru,маркетплейс,1,1
DREAM NATURE,market.yandex.ru,маркетплейс,1,2
DREAM NATURE,ozon.ru,маркетплейс,1,1
DREAM NATURE,wildberries.ru,маркетплейс,1,2
DSD de Luxe,kp.ru,обзор,1,1
DSD de Luxe,vc.ru,обзор,1,1
Dailee,apteka.ru,перекуп,1,1
Dailee,comfer.ru,перекуп,1,1
Dailee,market.yandex.ru,маркетплейс,1,1
Dailee,www.ozon.ru,маркетплейс,1,1
Deonica for men,axioneprofessional.ru,сайт бренда,1,1
Deonica for men,market.yandex.ru,маркетплейс,1,1
Deonica for men,ozon.ru,маркетплейс,1,2
Deonica for men,vkusvill.ru,маркетплейс,1,1
Deonica for men,wildberries.ru,маркетплейс,1,1
Dercos (Vichy),ihc-russia.ru,экспертный ресурс,1,1
Dercos (Vichy),lamoda.ru,обзор,1,1
Dercos (Vichy),stolichki.ru,обзор,1,1
Dove,lady.mail.ru,обзор,4,4
Dove,market.yandex.ru,маркетплейс,3,3
Dove,ozon.ru,маркетплейс,3,3
Dove,kp.ru,обзор,2,2
Dove,randewoo.ru,перекуп,2,2
Dove,wildberries.ru,маркетплейс,2,2
Dove,5ka.ru,перекуп,1,1
Dove,eapteka.ru,перекуп,1,1
Dove,fitomarket.ru,перекуп,1,1
Dove,letu.ru,обзор,1,1
Dove,letu.ru,перекуп,1,1
Dove,nbcnews.com,обзор,1,1
Dove,perekrestok.ru,перекуп,1,1
Dove,proficosmetics.ru,перекуп,1,1
Dove,rivegauche.ru,перекуп,1,1
Dove,stolichki.ru,обзор,1,1
Dove,tekhnik.top,обзор,1,1
Dove,www.kp.ru,обзор,1,1
EO Laboratorie,dzen.ru,обзор,1,1
EO Laboratorie,lady.mail.ru,обзор,1,1
EO Laboratorie,letu.ru,обзор,1,1
EO Laboratorie,stolichki.ru,перекуп,1,1
EO Laboratorie,tekhnik.top,обзор,1,1
ESTEL,market.yandex.ru,маркетплейс,6,6
ESTEL,ozon.ru,маркетплейс,6,6
ESTEL,wildberries.ru,маркетплейс,3,3
ESTEL,goldapple.ru,перекуп,2,2
ESTEL,5ka.ru,перекуп,1,1
ESTEL,angelprof.ru,сайт бренда,1,1
ESTEL,beloris.ru,перекуп,1,1
ESTEL,detmir.ru,маркетплейс,1,1
ESTEL,eapteka.ru,перекуп,1,1
ESTEL,goldapple.ru,маркетплейс,1,1
ESTEL,irecommend.ru,форум,1,1
ESTEL,kapous.ru,обзор,1,1
ESTEL,kapous.ru,сайт бренда,1,1
ESTEL,lady.mail.ru,обзор,1,1
ESTEL,megamarket.ru,маркетплейс,1,1
ESTEL,perekrestok.ru,перекуп,1,1
ESTEL,proficosmetics.ru,перекуп,1,1
ESTEL,randewoo.ru,перекуп,1,1
ESTEL,rivegauche.ru,маркетплейс,1,1
ESTEL,rivegauche.ru,перекуп,1,1
Ecolatier,market.yandex.ru,маркетплейс,2,2
