домен,упоминаний,процент,тип_источника,все_типы
market.yandex.ru,73,8.21,маркетплейс,"{'маркетплейс': 72, 'обзор': 1}"
ozon.ru,66,7.42,маркетплейс,{'маркетплейс': 66}
wildberries.ru,39,4.39,маркетплейс,{'маркетплейс': 39}
kp.ru,31,3.49,обзор,{'обзор': 31}
apteka.ru,28,3.15,перекуп,{'перекуп': 28}
goldapple.ru,26,2.92,перекуп,"{'перекуп': 21, 'обзор': 4, 'экспертный ресурс': 1}"
vc.ru,25,2.81,обзор,{'обзор': 25}
uteka.ru,18,2.02,перекуп,{'перекуп': 18}
detmir.ru,18,2.02,маркетплейс,{'маркетплейс': 18}
dzen.ru,16,1.8,обзор,{'обзор': 16}
letu.ru,15,1.69,перекуп,"{'обзор': 6, 'перекуп': 8, 'маркетплейс': 1}"
stolichki.ru,14,1.57,перекуп,"{'перекуп': 10, 'обзор': 3, 'экспертный ресурс': 1}"
doctorslon.ru,14,1.57,перекуп,"{'экспертный ресурс': 4, 'перекуп': 9, 'маркетплейс': 1}"
poryadok.ru,13,1.46,перекуп,{'перекуп': 13}
gorzdrav.org,13,1.46,перекуп,"{'перекуп': 12, 'обзор': 1}"
megapteka.ru,12,1.35,перекуп,{'перекуп': 12}
deti.mail.ru,12,1.35,обзор,{'обзор': 12}
eapteka.ru,11,1.24,перекуп,{'перекуп': 11}
health.mail.ru,11,1.24,обзор,"{'обзор': 8, 'экспертный ресурс': 3}"
onlinetrade.ru,10,1.12,перекуп,{'перекуп': 10}
dtf.ru,10,1.12,обзор,{'обзор': 10}
lady.mail.ru,9,1.01,обзор,{'обзор': 9}
pikabu.ru,9,1.01,обзор,"{'обзор': 6, 'форум': 3}"
comfer.ru,8,0.9,перекуп,"{'перекуп': 5, 'обзор': 2, 'экспертный ресурс': 1}"
braun-russia.ru,8,0.9,сайт бренда,"{'сайт бренда': 7, 'перекуп': 1}"
irecommend.ru,8,0.9,форум,{'форум': 8}
mvideo.ru,8,0.9,обзор,"{'обзор': 3, 'маркетплейс': 3, 'перекуп': 2}"
otzovik.com,8,0.9,форум,{'форум': 8}
oralb-russia.ru,7,0.79,сайт бренда,{'сайт бренда': 7}
vk.com,7,0.79,форум,"{'форум': 5, 'обзор': 2}"
babyblog.ru,7,0.79,обзор,"{'обзор': 5, 'форум': 2}"
reviews.yandex.ru,7,0.79,маркетплейс,"{'маркетплейс': 3, 'обзор': 3, 'форум': 1}"
lenta.com,6,0.67,перекуп,"{'перекуп': 5, 'маркетплейс': 1}"
planetazdorovo.ru,6,0.67,перекуп,{'перекуп': 6}
podrygka.ru,5,0.56,перекуп,{'перекуп': 5}
votonia.ru,5,0.56,перекуп,"{'маркетплейс': 2, 'перекуп': 3}"
momlovesbest.com,5,0.56,обзор,{'обзор': 5}
edadeal.ru,5,0.56,обзор,{'обзор': 5}
zdoroviemed.ru,5,0.56,экспертный ресурс,{'экспертный ресурс': 5}
megamarket.ru,5,0.56,маркетплейс,{'маркетплейс': 5}
rivegauche.ru,5,0.56,перекуп,"{'обзор': 2, 'перекуп': 3}"
zdravcity.ru,5,0.56,перекуп,"{'перекуп': 4, 'обзор': 1}"
lavka.yandex.ru,4,0.45,маркетплейс,{'маркетплейс': 4}
t-j.ru,4,0.45,обзор,{'обзор': 4}
ru.wikihow.com,4,0.45,обзор,{'обзор': 4}
irrigator.ru,4,0.45,перекуп,"{'обзор': 1, 'перекуп': 3}"
dentika.ru,4,0.45,экспертный ресурс,{'экспертный ресурс': 4}
probolezny.ru,4,0.45,экспертный ресурс,{'экспертный ресурс': 4}
vitaexpress.ru,4,0.45,перекуп,{'перекуп': 4}
media.halvacard.ru,4,0.45,обзор,{'обзор': 4}
rigla.ru,4,0.45,перекуп,"{'перекуп': 3, 'обзор': 1}"
perekrestok.ru,3,0.34,перекуп,"{'перекуп': 2, 'маркетплейс': 1}"
aptekiplus.ru,3,0.34,перекуп,{'перекуп': 3}
nappyclub.ru,3,0.34,сайт бренда,"{'сайт бренда': 2, 'перекуп': 1}"
pinkiss.ru,3,0.34,обзор,{'обзор': 3}
scarlett.ru,3,0.34,сайт бренда,{'сайт бренда': 3}
technopark.ru,3,0.34,перекуп,{'перекуп': 3}
vseinstrumenti.ru,3,0.34,перекуп,"{'обзор': 1, 'перекуп': 2}"
