категория,тип_запроса,Запрос вне зоны влияния бренда,Конкурент (категор.),Конкурент (консульт.),Конкурент (сравнит.),Не лидирует,Отсутствует
baby care,брендовый,7,0,0,0,14,23
baby care,категорийный,4,0,0,0,16,66
baby care,консультационный,15,0,44,0,19,58
baby care,сравнительный,0,0,0,27,13,45
hair care,брендовый,8,0,0,0,0,0
hair care,категорийный,3,1,0,0,12,111
hair care,консультационный,27,0,11,0,10,57
hair care,сравнительный,1,0,0,5,0,15
oral care,брендовый,2,0,0,0,0,0
oral care,категорийный,10,0,0,0,6,43
oral care,консультационный,53,0,13,0,3,20
oral care,сравнительный,10,0,0,9,8,16
