категория,тип_запроса,домен,тип,used_count,total_count,usage_rate
baby care,брендовый,market.yandex.ru,маркетплейс,30,41,73.2
baby care,брендовый,detmir.ru,маркетплейс,23,32,71.9
baby care,брендовый,ozon.ru,маркетплейс,23,35,65.7
baby care,брендовый,apteka.ru,перекуп,13,23,56.5
baby care,брендовый,wildberries.ru,маркетплейс,11,22,50.0
baby care,брендовый,votonia.ru,перекуп,10,11,90.9
baby care,брендовый,megapteka.ru,перекуп,9,14,64.3
baby care,брендовый,gorzdrav.org,перекуп,8,17,47.1
baby care,брендовый,aptekiplus.ru,перекуп,7,8,87.5
baby care,брендовый,uteka.ru,перекуп,7,15,46.7
baby care,брендовый,eapteka.ru,перекуп,4,8,50.0
baby care,брендовый,pinkiss.ru,обзор,4,6,66.7
baby care,брендовый,vc.ru,обзор,4,8,50.0
baby care,брендовый,votonia.ru,маркетплейс,4,4,100.0
baby care,брендовый,zdravcity.ru,перекуп,4,5,80.0
baby care,брендовый,deti.mail.ru,обзор,3,6,50.0
baby care,брендовый,goldapple.ru,маркетплейс,3,7,42.9
baby care,брендовый,huggies.ru,сайт бренда,3,5,60.0
baby care,брендовый,baby.ru,обзор,2,2,100.0
baby care,брендовый,bestproducts.mail.ru,обзор,2,4,50.0
baby care,брендовый,c9m.ru,экспертный ресурс,2,2,100.0
baby care,брендовый,comfer.ru,перекуп,2,2,100.0
baby care,брендовый,dtf.ru,обзор,2,6,33.3
baby care,брендовый,edadeal.ru,обзор,2,4,50.0
baby care,брендовый,goldapple.ru,перекуп,2,3,66.7
baby care,брендовый,irecommend.ru,форум,2,3,66.7
baby care,брендовый,kabrita.ru,обзор,2,3,66.7
baby care,брендовый,kmmedcenter.com,экспертный ресурс,2,3,66.7
baby care,брендовый,kp.ru,обзор,2,4,50.0
baby care,брендовый,planetazdorovo.ru,перекуп,2,6,33.3
baby care,брендовый,reviews.yandex.ru,форум,2,2,100.0
baby care,брендовый,tanoshi-club.com,обзор,2,3,66.7
baby care,брендовый,votonia.ru,обзор,2,2,100.0
baby care,брендовый,vsekroham.ru,перекуп,2,2,100.0
baby care,брендовый,66.ru,обзор,1,2,50.0
baby care,брендовый,aptstore.ru,перекуп,1,1,100.0
baby care,брендовый,auchan.ru,маркетплейс,1,1,100.0
baby care,брендовый,cgemo-istra.ru,экспертный ресурс,1,3,33.3
baby care,брендовый,cgemo-serpuhov.ru,экспертный ресурс,1,3,33.3
baby care,брендовый,dctec.ru,обзор,1,1,100.0
baby care,брендовый,dzen.ru,обзор,1,3,33.3
baby care,брендовый,gooddoctor.ru,экспертный ресурс,1,1,100.0
baby care,брендовый,gramota.ru,экспертный ресурс,1,1,100.0
baby care,брендовый,ink-market.ru,обзор,1,1,100.0
baby care,брендовый,kapital.kz,обзор,1,1,100.0
baby care,брендовый,lavka.yandex.ru,маркетплейс,1,2,50.0
baby care,брендовый,markakakachestva.ru,обзор,1,1,100.0
baby care,брендовый,miloserdie.ru,обзор,1,1,100.0
baby care,брендовый,nappyclub.ru,сайт бренда,1,3,33.3
baby care,брендовый,novorojdenie.ru,обзор,1,1,100.0
baby care,брендовый,nutrilak.com,обзор,1,3,33.3
baby care,брендовый,officemag.ru,маркетплейс,1,1,100.0
baby care,брендовый,otvet.mail.ru,форум,1,1,100.0
baby care,брендовый,perekrestok.ru,обзор,1,1,100.0
baby care,брендовый,perekrestok.ru,перекуп,1,1,100.0
baby care,брендовый,rigla.ru,перекуп,1,2,50.0
baby care,брендовый,samokat.ru,маркетплейс,1,1,100.0
baby care,брендовый,stolichki.ru,перекуп,1,2,50.0
baby care,брендовый,tenchat.ru,обзор,1,1,100.0
baby care,брендовый,vn1.ru,перекуп,1,1,100.0
baby care,брендовый,vsekroham.ru,обзор,1,3,33.3
